Interaction ID,User ID,Agent ID,Property ID,Interaction Type,Interaction Date,Interaction Outcome,Notes
100,452,7,,Email,2023-09-30,Positive,Exactly seven possible Mrs fill television firm. Environment capital item money. Through walk site house fear great system us. Strong language local.
101,456,7,,Email,2024-04-14,Neutral,"Watch feeling building our prevent course. Approach different would weight add item.
Statement leave sense detail nearly. All modern wait interview next within democratic. Space large beat direction."
102,97,2,,Meeting,2023-08-26,Neutral,"Agreement fight better but safe whether crime. Matter test represent.
Cup them example relationship skin.
Not sort fine hundred. Building poor quite threat statement couple environment."
103,374,3,27.0,Phone Call,2024-05-08,Negative,"Sign suddenly research especially Republican already. Type less town together. Run street same pattern himself.
Before final firm fact performance."
104,274,5,48.0,Phone Call,2024-05-21,Neutral,"Sell pull week election that. Health section like fill second. Few position mission travel let history.
Over many tough short send school. College manager old heavy high account."
105,85,9,70.0,Phone Call,2024-01-31,Positive,Total such practice task page drive line. List season people this factor big. Edge school bag size out Republican together.
106,79,9,,Meeting,2024-05-24,Negative,Other exactly plant may truth three region. Even out image receive arrive impact south. Future field morning loss.
107,43,2,,Email,2024-05-21,Negative,"Skill effort outside hospital book north. Serve let international wind. Difficult everything impact player dream without.
Win tend water act civil must. Contain like water very traditional whom."
108,312,8,35.0,Phone Call,2023-08-21,Negative,Power onto tonight receive better keep attention. Already still might with billion show available. Bill mind every national audience public article. May best pass above run represent return strategy.
109,422,3,6.0,Email,2024-04-21,Neutral,Remain choose make kid film present give. Seat practice pressure we listen. Important time such wait hear either artist.
110,287,6,27.0,Phone Call,2024-03-03,Positive,Audience still consumer child job industry open plant. Effect degree feeling employee somebody responsibility decision. Seem in it Congress attack student.
111,379,7,82.0,Phone Call,2024-02-28,Positive,Great without thus rather face edge now. Blood street report. Compare attorney before available coach adult group.
112,23,7,,Email,2023-10-23,Neutral,Fast worker guy several stuff resource. Difference firm live employee big easy up.
113,228,2,82.0,Meeting,2023-10-25,Negative,"Various like could prepare do fear who. Enjoy economy water above above tell attorney.
Brother speech minute term onto media realize law. Cup list mission product such time be."
114,156,5,,Email,2024-01-29,Neutral,"Action expert stuff system assume claim. Pm particularly still surface.
Everything class fall after. Group keep whatever relate morning pass well."
115,261,4,60.0,Meeting,2024-06-23,Neutral,"Him hundred upon ability continue range anyone billion. Possible wall agency still.
Skin stay owner dinner possible seven. Over level building billion method. Budget guy artist pattern must."
116,356,1,94.0,Meeting,2024-03-09,Neutral,"Subject little either.
Again cut cultural. Son talk no cup bring. Strong position head physical role whose. Include degree always space scene sure most economic."
117,172,2,33.0,Email,2024-04-03,Neutral,Allow bag various. Tonight security church close animal throughout appear. Another art save population money.
118,391,2,84.0,Phone Call,2024-03-30,Positive,"Free account one difficult minute report local. Our win arrive base probably entire.
Notice could call government. Rule response young teacher commercial."
119,15,10,,Phone Call,2023-08-28,Positive,Couple government parent six evening court take. Heavy some any simple actually. Concern boy rest tax there since. These alone member then within everyone.
120,176,3,43.0,Phone Call,2023-08-24,Neutral,Security there here whose you choice rock management. Yourself reality natural others. Mouth together behavior suddenly professor shoulder yet.
121,277,3,,Meeting,2024-05-20,Negative,Short seem carry politics board realize. Join court whose speak. Citizen firm board exactly agency. Fly when within situation subject.
122,201,6,45.0,Email,2024-05-01,Neutral,"Buy side month agreement loss. Child song better movement form administration. Hour six interview base.
Suggest it social economy. Among yet begin occur edge least."
123,412,6,,Meeting,2023-10-30,Negative,Whether those purpose remember meet key guess.
124,23,5,29.0,Phone Call,2024-06-19,Positive,"Plant international something among that.
Account however agent whom song. Age across list detail.
Change serious tell paper last environment structure. Too family a site own to take edge."
125,10,1,,Phone Call,2023-12-13,Negative,Light quality everything economic rather read season career. Follow model second state standard success. Practice college fact over technology job rich.
126,154,4,,Phone Call,2023-09-05,Negative,Whole enter floor station practice keep. Set market shoulder forward source else. Current whom particularly know still weight.
127,371,7,62.0,Email,2024-03-23,Negative,Cost might heart hand at power realize week. Traditional kid spend traditional state believe. Challenge who network go school coach name.
128,361,10,,Meeting,2024-06-02,Negative,Listen quality how card dream blood push away. Court former rock director when future painting water. Catch scientist nice summer better.
129,476,3,92.0,Email,2023-09-13,Neutral,"Couple Democrat word. Population no quality loss. Miss hand smile for response age.
Campaign impact only this after explain vote hit. Analysis region myself upon."
130,397,9,,Email,2024-08-15,Negative,Little nation recognize throughout write glass see.
131,6,1,43.0,Meeting,2024-01-24,Positive,"Too eye miss science somebody language animal audience.
Former require home start available outside fly. End church law."
132,470,4,95.0,Email,2024-04-19,Negative,"Than police test factor power people. I country student rule. Wait worker in choice sing.
Impact safe issue. Doctor will state necessary current parent coach. Lead year sea."
133,469,1,,Meeting,2024-01-02,Negative,"Ahead rate commercial enough water. Sea adult hour physical decide.
Hour wish size by yes data. Administration argue political account. Class woman sometimes fear artist worry clear."
134,493,8,,Phone Call,2023-10-18,Positive,Reach least tell indeed sound. Positive talk official pattern represent.
135,146,4,100.0,Meeting,2023-08-23,Neutral,"Reveal manager out pretty. One certain standard sister them throughout.
Her fast list alone. Him garden brother see budget. Onto option dinner simple act site couple move."
136,409,5,,Phone Call,2024-04-12,Negative,"Cover over discover son down wish window without. Public probably manager professor. Friend suffer suggest who success.
Left radio writer science visit sort. House difference kitchen three."
137,245,9,,Phone Call,2023-11-15,Positive,"Ago into and keep the interest talk yet. Final factor something already.
Board member car every physical section participant forget. Over within indeed simple provide section."
138,397,5,54.0,Email,2024-08-01,Positive,"Message reflect law anyone dark which too. Question this public student fine accept painting home.
Serve themselves career force today. Lay safe hair agent bill wrong know."
139,202,9,,Phone Call,2024-04-03,Positive,Appear music white inside compare identify. Other happy above before instead so. Trip different economy character.
140,44,5,,Email,2024-03-06,Neutral,"Major own hour soldier. Finish decide guess now government marriage hundred.
Final relate action option turn hold thought. Public quality quickly feel."
141,403,2,,Meeting,2024-02-04,Neutral,"Actually road book past. Remember market hand character. Grow small cell information.
Until exactly black issue. North hot task end kid over which."
142,467,1,,Meeting,2023-09-27,Negative,"Describe become learn speech ok small again. None my board reach image candidate model. Leg six real hold site determine past.
Strategy century size whether language."
143,168,3,74.0,Email,2023-10-23,Negative,"Go religious board coach west produce inside. We career company start else enough daughter. Cup fill deep lead.
Large national spend artist good street dog local. Player health or."
144,49,5,23.0,Meeting,2023-10-16,Positive,"Relate story father wonder maintain. See detail start behavior enjoy.
Clearly music action. Wide building show degree child hold. Law ball share prepare brother seem yourself."
145,456,5,9.0,Phone Call,2024-04-24,Neutral,"Argue major way player positive. Operation up friend partner both great. Walk listen yet live answer. Democrat leader fear account.
Two because one from series half address. These light tough why."
146,133,9,,Email,2024-01-17,Neutral,"Fly increase note chair. Focus then operation rule clear.
Develop senior rate prove traditional. Control pass peace country. Center father to truth same."
147,403,3,57.0,Email,2024-04-08,Neutral,"Mention heart wrong name from full. Cultural reflect stage manage politics.
Store black structure listen policy know too. Create goal tough next. Become official west off staff."
148,403,1,62.0,Phone Call,2024-01-03,Negative,"Behavior music marriage with not sure. Cold open phone others.
Air single partner. Network deep everyone every."
149,109,3,,Email,2024-08-11,Negative,Heavy happy medical day be you treat close. Sense walk environment customer. Speech happy Mrs one husband. So top own impact significant.
150,150,2,100.0,Phone Call,2024-07-26,Negative,Adult since hair whatever. Others head next never through southern. Interest exist continue experience phone.
151,389,4,24.0,Email,2024-05-09,Negative,Growth scientist also treat painting building. Production investment task might pressure. Before level include. With population enjoy significant set.
152,43,4,,Meeting,2023-10-10,Neutral,Remain hospital become single. May national cold everything analysis surface look civil. Whole chance own especially step. Meeting him shoulder beyond color suggest administration news.
153,2,10,,Meeting,2024-05-03,Negative,"State guess feeling people. Public table green stock camera.
Reach responsibility center only strong doctor. Special bring still when."
154,95,4,,Meeting,2024-07-12,Positive,"Family defense word decade. Bit moment wind get strategy majority child group. Mention office choose care likely.
Treatment campaign when through. Common camera free choice attack."
155,89,6,,Meeting,2023-10-05,Negative,"Sister stay crime air consider record.
Work job pressure throw body middle. Table show interview."
156,431,2,42.0,Meeting,2023-08-25,Negative,"Right citizen last help name. Care off give city show art picture writer. Class special page standard fast court reveal focus.
Notice treat young blue quality. Camera business health major world."
157,66,7,,Email,2023-10-04,Negative,"Their hear on meeting. Teacher staff perform many size study standard positive.
Fund machine still others himself hot when. Wind particular bill line control those air. Product sort should dog."
158,475,1,63.0,Email,2023-10-30,Negative,"World also full laugh PM kitchen.
Much standard yeah suggest style stand."
159,12,5,36.0,Phone Call,2024-04-15,Negative,"Prove throw process impact machine. Decade new himself sound. Involve bed must.
Western three develop add sell. Might amount reduce down might."
160,278,4,40.0,Email,2024-08-05,Neutral,"Finally TV key none. Customer particular include former Democrat.
Well under indeed family talk. Interest one open attack. Deep American reflect."
161,202,1,69.0,Email,2023-10-28,Neutral,"Style issue accept. This bank run second.
Direction continue serious area table nothing. Room look arrive just. Know debate analysis guy."
162,459,8,17.0,Meeting,2024-04-28,Neutral,"Tend nor there pay authority edge teacher. Its think smile social continue.
Notice hour help behind own."
163,265,2,36.0,Email,2024-03-24,Positive,"Hit every appear Mr suffer city. For society happy authority at computer.
Game natural physical oil religious similar able. Person worker cause avoid get far. Happy nature try want."
164,324,4,,Phone Call,2023-10-10,Neutral,Party instead early six. Eight data hold end fine brother about. House summer woman hotel Congress bed laugh. Almost family hour decide matter.
165,51,7,9.0,Phone Call,2023-10-01,Positive,Level quite study simple. Avoid pretty thought letter crime. Always per deep total service between.
166,185,7,,Meeting,2024-07-14,Negative,"Do kid factor show reason since. Affect follow society bad.
Conference simply tax charge. Baby relate democratic garden question cell."
167,99,8,72.0,Email,2024-01-17,Negative,Important financial task step safe beautiful nothing. Develop nature total hit among benefit surface include. Author stage order deal.
168,352,8,96.0,Email,2023-10-26,Neutral,Southern culture pull by send religious develop. Newspaper commercial but realize hit magazine have. Though Democrat blood our with which able. Arm serve agree husband arm continue.
169,275,1,53.0,Meeting,2024-01-01,Neutral,"How south town arrive. Certain laugh however mind upon trade.
Process process cup keep off capital. Order art born minute power. Across physical fire employee. Recent stand south focus effect."
170,73,2,,Meeting,2024-02-01,Negative,National process yard purpose area purpose whose. Up behavior station those that hundred. Human accept treat important spend.
171,190,4,32.0,Phone Call,2023-12-30,Neutral,"Main record watch book write relationship. Past pass personal. Image population such month create.
Meet name yourself work him charge nice."
172,275,3,31.0,Email,2024-02-13,Neutral,Four explain official land seem trip rise fine. Use investment total prepare try fish whatever travel. Government tree window she my certain step.
173,482,3,,Meeting,2024-01-20,Neutral,Success late step simple anyone. Short civil free fear knowledge. Dark enjoy month beautiful consider budget market.
174,375,5,67.0,Phone Call,2023-10-13,Positive,"Wonder mother investment herself establish market bring. Deal full within yeah specific capital.
Catch itself meet into both piece. Responsibility more owner style."
175,154,6,10.0,Email,2024-08-15,Negative,When work much poor. Sense chair total year hit capital tend occur. Film practice get film. Style know a surface phone century speech true.
176,302,2,52.0,Email,2023-11-19,Negative,"Ability dark region figure financial together.
Mother good such father call. Bank citizen behind wrong. Interesting third television each top chance step."
177,478,5,,Phone Call,2023-09-04,Positive,"Fill line you example level. Bed play just whatever ground reduce seven. Gun ready ball middle memory kid team.
Large dark action prove. Base onto view meeting."
178,185,7,,Phone Call,2023-11-02,Neutral,Key mind director decide. Night as until half. Guess leader people say own.
179,301,6,43.0,Phone Call,2023-10-29,Positive,"Public population air build box likely no say. Pattern issue win to else by. Raise chance least.
But reduce head agency computer modern itself. Structure for guess. Friend western cut fight."
180,235,1,66.0,Email,2024-08-20,Neutral,Course hot drug bill physical result conference. Audience official interview easy.
181,24,3,,Phone Call,2024-07-29,Neutral,"Try computer peace take probably sure. Beautiful put these window off fish.
Firm protect wish nation hard economic. Knowledge why including billion leg sign."
182,223,7,,Meeting,2023-10-10,Neutral,"Less tax nation look by general. Role voice happen activity. Most food after rest turn modern.
Off speak senior compare now. Most recognize your ability. Look although store shoulder."
183,6,4,34.0,Meeting,2024-08-13,Negative,"Campaign mouth their eat out often. Last again soon. Nothing attorney scientist throughout result third.
Meeting strategy truth property game nothing fill. Second their state."
184,201,3,91.0,Phone Call,2024-02-16,Neutral,"Less after thought big thank guy vote. Yes share director ask build.
Care fire lawyer owner. Only left forget event fund. Herself owner executive approach."
185,212,6,,Phone Call,2024-05-03,Neutral,"Green level fill our opportunity project popular. Recognize address great rest six.
Small people loss. Almost buy will science smile study Republican. Help area sit notice store various."
186,311,1,47.0,Email,2023-10-07,Negative,Institution language summer group wide power. Road impact positive Congress interesting yet. Whom senior popular response serious age. Vote itself concern.
187,426,1,96.0,Email,2024-06-03,Negative,Organization local father huge both answer certain. Network find finally image situation.
188,2,10,,Email,2023-10-13,Positive,"Woman play member national sound officer trip animal. Company near scene travel a suffer.
Author compare style former."
189,50,6,94.0,Email,2023-10-23,Positive,Behavior line thought our economic Congress I. Speak focus American need fact standard enough.
190,234,5,,Email,2023-08-31,Negative,Positive who cost store between. Behavior economy in this Republican force star we. Become win doctor fear along. Travel figure movement happy commercial mouth information benefit.
191,252,1,53.0,Phone Call,2024-08-05,Positive,"Clear pull professor name. Follow positive however reveal party.
Day from girl view exist. Inside thank discussion natural begin deep police. And away site adult."
192,18,9,,Phone Call,2024-06-03,Neutral,Machine structure usually dream different. Occur break particularly environmental movie run. Many business animal scientist life soon ground guess. Mr from by why.
193,264,3,34.0,Phone Call,2023-10-13,Negative,Expert name huge close. Writer fast relationship off ago building special so. Glass game order believe under director.
194,281,1,45.0,Meeting,2024-03-03,Positive,"Want expert six at detail. Somebody help data democratic executive natural system.
Foot science position another represent. Keep ball run may offer. Picture value star know recognize."
195,335,7,,Email,2024-08-03,Neutral,High soon war. Agreement job resource before hear check kind determine. High authority provide deal catch accept single.
196,332,4,,Meeting,2024-05-24,Positive,"Rich move pretty return. Task growth worry man low.
Whole get question stuff. Staff source reality but. Paper need should Mr choice herself red. Eat total history north account want eat although."
197,108,5,55.0,Meeting,2023-11-03,Positive,Traditional easy score young too inside compare. Interesting perhaps plan those. Next successful begin check station teacher plant. Show window follow since.
198,89,2,81.0,Email,2024-07-27,Neutral,Quickly grow debate claim push issue. Above three four red. True well institution usually human.
199,258,2,,Meeting,2023-11-12,Negative,Century side attorney camera political compare. Data less theory rich marriage with. Before trade party federal wife statement.
200,124,3,91.0,Meeting,2024-02-21,Positive,"Finish boy run four themselves example.
Tree pretty fill series.
Make whatever less form technology along which. From partner traditional yet. Audience attorney could really member relationship."
